;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nacelle NC10...;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;- Tableau des résultats -;;;
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés); n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés)
42;0,173322;2,59;0,173322;2,779;0,174585;4,449;0,174585;4,925;0,170236;4,214;0,170236;5,431;0,174626;0,034;0,174626;2,574;0,170488;-4,55;0,170488;-4,492;0,170484;-4;0,170484;-6,399;0,170518;3,787;0,170518;1,511;0,17024;-4,778;0,17024;10,14;0,174687;4,571;0,174687;-4,641;0,170475;-3,484;0,170475;1,879;42;0,173645;0,847;0,173645;-2,124
43;0,177396;2,645;0,177396;2,862;0,178658;4,506;0,178658;4,962;0,174338;4,069;0,174338;5,348;0,178723;-0,334;0,178723;2,025;0,174592;-4,739;0,174592;-5,169;0,174587;-3,581;0,174587;-6,247;0,174621;4,29;0,174621;2,754;0,174341;-4,996;0,174341;7,628;0,178784;4,977;0,178784;-6,424;0,174574;-4,598;0,174574;2,839;43;0,177724;-1,678;0,177724;-2,071
44;0,181495;2,699;0,181495;2,933;0,182763;4,56;0,182763;4,972;0,178478;3,913;0,178478;5,266;0,18282;-0,7;0,18282;1,46;0,178729;-4,879;0,178729;-5,729;0,178668;-3,106;0,178668;-5,996;0,17873;4,666;0,17873;3,951;0,17842;-4,885;0,17842;4,645;0,182855;4,875;0,182855;-7,536;0,178652;-5;0,178652;3,224;44;0,181827;-3,782;0,181827;-1,46
45;0,185598;2,753;0,185598;2,994;0,186884;4,612;0,186884;4,98;0,18253;3,749;0,18253;5,19;0,186912;-1,061;0,186912;0,906;0,182784;-4,965;0,182784;-6,164;0,182769;-2,576;0,182769;-5,651;0,182803;4,904;0,182803;5,04;0,182523;-4,452;0,182523;1,351;0,186963;4,271;0,186963;-7,936;0,182755;-4,63;0,182755;3,163;45;0,185916;-4,901;0,185916;-0,495
46;0,189679;2,806;0,189679;3,053;0,19095;4,66;0,19095;4,98;0,18663;3,574;0,18663;5,115;0,19101;-1,417;0,19101;0,356;0,186862;-4,999;0,186862;-6,475;0,186892;-2,001;0,186892;-5,216;0,18691;4,998;0,18691;6,058;0,186634;-3,723;0,186634;-2,161;0,191065;3,228;0,191065;-7,624;0,186836;-3,549;0,186836;2,485;46;0,190004;-4,755;0,190004;0,582
47;0,193783;2,859;0,193783;3,112;0,195105;4,706;0,195105;4,987;0,19071;3,39;0,19071;5,054;0,195093;-1,765;0,195093;-0,17;0,190965;-4,981;0,190965;-6,658;0,190956;-1,402;0,190956;-4,691;0,190992;4,947;0,190992;6,858;0,190711;-2,755;0,190711;-5,643;0,195168;1,852;0,195168;-6,742;0,190941;-1,912;0,190941;1,35;47;0,194165;-3,346;0,194165;1,471
48;0,197886;2,912;0,197886;3,172;0,199137;4,747;0,199137;4,995;0,19481;3,196;0,19481;4,983;0,199195;-2,104;0,199195;-0,688;0,195127;-4,908;0,195127;-6,713;0,195063;-0,772;0,195063;-4,065;0,195099;4,749;0,195099;7,456;0,194813;-1,601;0,194813;-8,818;0,199245;0,296;0,199245;-5,275;0,195025;0,012;0,195025;-0,185;48;0,198198;-1,123;0,198198;1,901
49;0,201964;2,964;0,201964;3,231;0,203265;4,786;0,203265;5,014;0,198914;2,994;0,198914;4,894;0,20327;-2,43;0,20327;-1,202;0,199178;-4,786;0,199178;-6,638;0,199142;-0,135;0,199142;-3,347;0,199178;4,414;0,199178;7,745;0,198897;-0,346;0,198897;-11,395;0,203349;-1,3;0,203349;-3,309;0,199129;1,943;0,199129;-1,816;49;0,202298;1,424;0,202298;1,806
50;0,206076;3,016;0,206076;3,293;0,207334;4,821;0,207334;5,035;0,202992;2,785;0,202992;4,79;0,207378;-2,745;0,207378;-1,732;0,203254;-4,613;0,203254;-6,459;0,203248;0,509;0,203248;-2,571;0,203283;3,947;0,203283;7,812;0,203001;0,937;0,203001;-13,333;0,207444;-2,76;0,207444;-0,854;0,203253;3,579;0,203253;-3,328;50;0,206402;3,603;0,206402;1,179
51;0,210172;3,067;0,210172;3,35;0,211427;4,854;0,211427;5,056;0,207134;2,565;0,207134;4,663;0,211464;-3,044;0,211464;-2,272;0,207373;-4,389;0,207373;-6,192;0,20735;1,144;0,20735;-1,778;0,207385;3,364;0,207385;7,609;0,207105;2,159;0,207105;-14,388;0,211595;-3,95;0,211595;1,782;0,207339;4,647;0,207339;-4,415;51;0,210495;4,842;0,210495;0,26
