temps;APEG;TV;TPC;MDR;EFN;TRH1
temps;Angle Pivot;Gyromètre;Consigne tangage PC;Commande Moteur Droit;Effort milli N;trs/min Droit
0008.034;-541;4;-51;4779;304;4794
0008.052;-521;4;-51;4779;294;4895
0008.065;-521;6;-51;4779;294;4895
0008.082;-541;6;-51;4779;294;4895
0008.100;-521;2;-51;4779;284;4794
0008.113;-521;0;51;4779;294;4896
0008.130;-521;0;51;4416;294;4794
0008.143;-521;4;51;4416;284;4695
0008.161;-521;2;51;4416;284;4511
0008.174;-521;-2;51;4416;284;4512
0008.191;-521;0;51;4416;284;4342
0008.204;-521;0;51;4416;275;4261
0008.222;-521;4;51;4416;275;4109
0008.235;-521;0;51;4416;275;4037
0008.252;-541;-2;51;4416;275;3967
0008.269;-521;4;51;4416;275;3900
0008.283;-521;4;51;4416;275;3835
0008.300;-521;2;51;4416;275;3772
0008.313;-521;0;51;4416;275;3711
0008.330;-521;4;51;4416;275;3652
0008.348;-521;6;51;4416;275;3540
0008.361;-541;0;51;4416;275;3486
0008.378;-521;4;51;4416;275;3384
0008.391;-541;0;51;4416;275;3384
0008.409;-501;2;51;4416;275;3287
0008.422;-521;2;51;4416;275;3287
0008.443;-501;0;51;4416;275;3196
0008.457;-521;0;51;4416;275;3152
0008.470;-501;8;51;4416;275;3152
0008.487;-501;6;51;4416;275;3068
0008.500;-481;6;51;4416;275;3068
0008.517;-501;4;51;4416;275;3027
0008.535;-481;6;51;4416;275;2988
0008.548;-481;6;51;4416;275;2950
0008.565;-501;4;51;4416;265;2913
0008.578;-481;0;51;4416;265;2912
0008.596;-481;2;51;4416;265;2876
0008.609;-501;-2;51;4416;265;2840
0008.626;-481;-2;51;4416;265;2806
0008.644;-481;0;51;4416;265;2772
0008.657;-481;2;51;4416;265;2772
0008.674;-501;-2;51;4416;265;2739
0008.687;-481;2;51;4416;265;2739
0008.705;-481;0;51;4416;265;2707
0008.718;-481;2;51;4416;255;2675
0008.735;-481;4;51;4416;255;2675
0008.753;-481;2;51;4416;255;2644
0008.766;-481;2;51;4416;245;2645
0008.783;-481;2;51;4416;245;2614
0008.796;-481;2;51;4416;245;2614
0008.814;-501;0;51;4416;245;2585
0008.827;-481;0;51;4416;245;2585
0008.844;-481;0;51;4416;245;2556
0008.861;-501;0;51;4416;245;2556
0008.874;-481;4;51;4416;245;2528
0008.892;-501;0;51;4416;255;2528
0008.909;-501;0;51;4416;245;2501
0008.922;-501;0;51;4416;245;2501
0008.940;-481;2;51;4416;245;2501
0008.953;-481;0;51;4416;245;2474
0008.970;-481;2;51;4416;245;2474
0008.983;-501;0;51;4416;245;2474
0009.001;-501;0;51;4416;245;2448
0009.014;-501;0;51;4416;245;2448
0009.031;-501;0;51;4416;245;2448
0009.044;-481;0;51;4416;245;2422
0009.062;-481;0;51;4416;255;2448
0009.079;-481;0;51;4416;245;2422
0009.092;-481;0;51;4416;245;2397
0009.109;-481;0;51;4416;245;2397
0009.127;-501;0;51;4416;245;2422
0009.140;-501;0;51;4416;245;2397
0009.157;-481;2;51;4416;245;2397
0009.170;-501;0;51;4416;245;2372
0009.188;-481;0;51;4416;255;2397
0009.201;-481;2;51;4416;245;2372
0009.218;-501;0;51;4416;245;2372
0009.236;-501;0;51;4416;245;2348
0009.249;-501;0;51;4416;245;2372
0009.266;-501;0;51;4416;245;2348
0009.279;-481;4;51;4416;245;2348
0009.297;-481;2;51;4416;245;2348
0009.310;-501;0;51;4416;245;2348
