temps;APEG;TV;TPC
temps;Angle Pivot;Gyromètre;Consigne tangage PC
0010.857;-2964;-28;-1820
0010.870;-2984;-28;-1820
0010.886;-3024;-26;-1820
0010.902;-3044;-24;-1820
0010.934;-3124;-24;-1820
0010.950;-3145;-24;-1820
0010.963;-3145;-24;-1820
0010.979;-3205;-22;-1820
0010.995;-3205;-22;-1820
0011.011;-3225;-24;-1820
0011.027;-3265;-26;-1820
0011.041;-3305;-24;-1820
0011.059;-3325;-22;-1820
0011.073;-3365;-26;-1820
0011.089;-3365;-24;-1820
0011.105;-3425;-26;-1820
0011.121;-3425;-24;-1820
0011.150;-3485;-28;-1820
0011.166;-3525;-30;-1820
0011.182;-3565;-32;-1820
0011.198;-3605;-28;-1820
0011.214;-3605;-28;-1820
0011.227;-3625;-28;-1820
0011.246;-3665;-28;-1820
0011.259;-3725;-28;-1820
0011.275;-3725;-26;-1820
0011.291;-3745;-26;-1820
0011.307;-3785;-26;-1820
0011.337;-3846;-24;-1820
0011.353;-3886;-26;-1820
0011.369;-3866;-24;-1820
0011.385;-3926;-22;-1820
0011.401;-3946;-22;-1820
0011.417;-3966;-24;-1820
0011.433;-4006;-24;-1820
0011.446;-4006;-22;-1820
0011.462;-4066;-26;-1820
0011.478;-4086;-28;-1820
0011.494;-4086;-28;-1820
0011.523;-4146;-26;-1820
0011.539;-4186;-28;-1820
0011.555;-4206;-26;-1820
0011.571;-4266;-26;-1820
0011.587;-4266;-24;-1820
0011.603;-4306;-30;-1820
0011.619;-4346;-28;-1820
0011.633;-4366;-24;-1820
0011.651;-4386;-24;-1820
0011.665;-4426;-24;-1820
0011.681;-4286;-6;-1820
0011.697;-4466;-26;-1820
0011.713;-4486;-24;-1820
0011.742;-4526;-24;-1820
0011.758;-4587;-28;-1820
0011.777;-4607;-28;-1820
0011.790;-4647;-26;-1820
0011.806;-4667;-30;-1820
0011.819;-4727;-30;-1820
0011.838;-4747;-28;-1820
0011.851;-4727;-28;-1820
0011.867;-4767;-28;-1820
0011.883;-4787;-26;-1820
0011.899;-4827;-24;-1820
0011.913;-4847;-24;-1820
0011.929;-4887;-26;-1820
0011.945;-4907;-24;-1820
0011.961;-4947;-22;-1820
0011.977;-4947;-18;-1820
0011.993;-4967;-20;-1820
0012.006;-5007;-22;-1820
0012.025;-4987;-16;-1820
0012.041;-5047;-18;-1820
0012.057;-5087;-22;-1820
0012.070;-5147;-30;-1820
0012.083;-5107;-28;-1820
0012.099;-5127;-24;1820
0012.115;-5187;-26;1820
0012.131;-5207;-20;1820
0012.147;-5207;-16;1820
0012.163;-5207;-6;1820
0012.179;-5187;0;1820
0012.195;-5207;8;1820
0012.209;-5147;14;1820
0012.225;-5147;18;1820
0012.241;-5167;16;1820
0012.257;-5127;16;1820
0012.273;-5107;14;1820
0012.289;-5107;16;1820
0012.302;-5087;16;1820
0012.318;-5087;14;1820
0012.334;-5087;10;1820
0012.350;-5107;8;1820
0012.366;-5067;6;1820
0012.382;-5087;4;1820
0012.398;-5087;0;1820
0012.411;-5067;6;1820
0012.427;-5067;6;1820
0012.443;-5067;10;1820
0012.459;-5047;14;1820
0012.489;-5047;10;1820
0012.505;-5047;10;1820
0012.521;-5027;12;1820
0012.537;-5047;10;1820
0012.553;-5027;12;1820
0012.569;-5007;10;1820
