temps;APEG;TV;TPC
temps;Angle Pivot;Gyromètre;Consigne tangage PC
0009.982;-01322;-0026;-1820
0010.014;-01402;-0026;-1820
0010.030;-01422;-0024;-1820
0010.046;-01442;-0026;-1820
0010.062;-01402;-0016;-1820
0010.075;-01482;-0026;-1820
0010.094;-01562;-0026;-1820
0010.107;-01562;-0028;-1820
0010.123;-01622;-0030;-1820
0010.139;-01622;-0028;-1820
0010.155;-01662;-0028;-1820
0010.185;-01722;-0026;-1820
0010.201;-01742;-0026;-1820
0010.217;-01763;-0024;-1820
0010.233;-01803;-0024;-1820
0010.249;-01823;-0022;-1820
0010.265;-01863;-0024;-1820
0010.281;-01863;-0020;-1820
0010.294;-01903;-0022;-1820
0010.310;-01923;-0022;-1820
0010.326;-01943;-0026;-1820
0010.342;-02003;-0028;-1820
0010.371;-02043;-0026;-1820
0010.387;-02063;-0024;-1820
0010.403;-02103;-0026;-1820
0010.419;-02143;-0030;-1820
0010.435;-02163;-0026;-1820
0010.449;-02203;-0028;-1820
0010.467;-02223;-0024;-1820
0010.489;-02263;-0024;-1820
0010.497;-02283;-0026;-1820
0010.513;-02303;-0028;-1820
0010.529;-02363;-0028;-1820
0010.558;-02403;-0028;-1820
0010.574;-02444;-0026;-1820
0010.590;-02464;-0024;-1820
0010.606;-02464;-0026;-1820
0010.622;-02524;-0028;-1820
0010.638;-02564;-0030;-1820
0010.654;-02584;-0028;-1820
0010.670;-02604;-0028;-1820
0010.683;-02644;-0030;-1820
0010.699;-02664;-0030;-1820
0010.715;-02684;-0028;-1820
0010.731;-02724;-0026;-1820
0010.747;-02784;-0028;-1820
0010.761;-02784;-0024;-1820
0010.777;-02824;-0028;-1820
0010.793;-02824;-0024;-1820
0010.809;-02884;-0028;-1820
0010.825;-02904;-0026;-1820
0010.838;-02944;-0028;-1820
0010.857;-02964;-0028;-1820
0010.870;-02984;-0028;-1820
0010.886;-03024;-0026;-1820
0010.902;-03044;-0024;-1820
0010.934;-03124;-0024;-1820
0010.950;-03145;-0024;-1820
0010.963;-03145;-0024;-1820
0010.979;-03205;-0022;-1820
0010.995;-03205;-0022;-1820
0011.011;-03225;-0024;-1820
0011.027;-03265;-0026;-1820
0011.041;-03305;-0024;-1820
0011.059;-03325;-0022;-1820
0011.073;-03365;-0026;-1820
0011.089;-03365;-0024;-1820
0011.105;-03425;-0026;-1820
0011.121;-03425;-0024;-1820
0011.150;-03485;-0028;-1820
0011.166;-03525;-0030;-1820
0011.182;-03565;-0032;-1820
0011.198;-03605;-0028;-1820
0011.214;-03605;-0028;-1820
0011.227;-03625;-0028;-1820
0011.246;-03665;-0028;-1820
0011.259;-03725;-0028;-1820
0011.275;-03725;-0026;-1820
0011.291;-03745;-0026;-1820
