;;;;;;;;;;;;;;;;;;Nacelle NC10...
;;;;;;;;;;;;;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
98;    0,399755;   20,000000;    0,399755;    4,957000;    0,398506;   20,000000;    0,398506;   11,272000;    0,399505;   20,000000;    0,399505;   20,012000;    0,399858;   20,000000;    0,399858;   21,902000;
99;    0,403854;   20,000000;    0,403854;    4,946000;    0,402586;   20,000000;    0,402586;   11,171000;    0,403603;   20,000000;    0,403603;   19,715000;    0,403902;   20,000000;    0,403902;   21,976000;
100;    0,407992;   20,000000;    0,407992;    4,943000;    0,406688;   20,000000;    0,406688;   11,109000;    0,407705;   20,000000;    0,407705;   19,409000;    0,407976;   20,000000;    0,407976;   22,101000;
101;    0,412053;   20,000000;    0,412053;    4,944000;    0,410792;   20,000000;    0,410792;   11,086000;    0,411786;   20,000000;    0,411786;   19,141000;    0,412080;   20,000000;    0,412080;   22,266000;
102;    0,416145;   20,000000;    0,416145;    4,942000;    0,414896;   20,000000;    0,414896;   11,101000;    0,415888;   20,000000;    0,415888;   18,933000;    0,416239;   20,000000;    0,416239;   22,463000;
103;    0,420234;   20,000000;    0,420234;    4,942000;    0,418976;   20,000000;    0,418976;   11,143000;    0,419997;   20,000000;    0,419997;   18,827000;    0,420269;   20,000000;    0,420269;   22,677000;
104;    0,424334;   20,000000;    0,424334;    4,941000;    0,423093;   20,000000;    0,423093;   11,197000;    0,424078;   20,000000;    0,424078;   18,840000;    0,424374;   20,000000;    0,424374;   22,888000;
105;    0,428445;   20,000000;    0,428445;    4,951000;    0,427192;   20,000000;    0,427192;   11,261000;    0,428231;   20,000000;    0,428231;   18,964000;    0,428455;   20,000000;    0,428455;   23,058000;
106;    0,432517;   20,000000;    0,432517;    4,968000;    0,431272;   20,000000;    0,431272;   11,328000;    0,432286;   20,000000;    0,432286;   19,170000;    0,432571;   20,000000;    0,432571;   23,169000;
107;    0,436623;   20,000000;    0,436623;    4,997000;    0,435369;   20,000000;    0,435369;   11,397000;    0,436393;   20,000000;    0,436393;   19,422000;    0,436739;   20,000000;    0,436739;   23,198000;
108;    0,440729;   20,000000;    0,440729;    5,028000;    0,439450;   20,000000;    0,439450;   11,459000;    0,440492;   20,000000;    0,440492;   19,676000;    0,440822;   20,000000;    0,440822;   23,147000;
109;    0,444803;   20,000000;    0,444803;    5,055000;    0,443559;   20,000000;    0,443559;   11,510000;    0,444599;   20,000000;    0,444599;   19,884000;    0,444845;   20,000000;    0,444845;   23,027000;
110;    0,448910;   20,000000;    0,448910;    5,066000;    0,447661;   20,000000;    0,447661;   11,540000;    0,448680;   20,000000;    0,448680;   20,033000;    0,448927;   20,000000;    0,448927;   22,870000;
111;    0,453021;   20,000000;    0,453021;    5,061000;    0,451739;   20,000000;    0,451739;   11,540000;    0,452784;   20,000000;    0,452784;   20,105000;    0,453025;   20,000000;    0,453025;   22,706000;
112;    0,457123;   20,000000;    0,457123;    5,042000;    0,455863;   20,000000;    0,455863;   11,505000;    0,456877;   20,000000;    0,456877;   20,112000;    0,457145;   20,000000;    0,457145;   22,562000;
113;    0,461191;   20,000000;    0,461191;    5,017000;    0,459948;   20,000000;    0,459948;   11,443000;    0,461017;   20,000000;    0,461017;   20,058000;    0,461243;   20,000000;    0,461243;   22,452000;
114;    0,465282;   20,000000;    0,465282;    4,992000;    0,464028;   20,000000;    0,464028;   11,369000;    0,465034;   20,000000;    0,465034;   19,956000;    0,465321;   20,000000;    0,465321;   22,381000;
115;    0,469387;   20,000000;    0,469387;    4,973000;    0,468129;   20,000000;    0,468129;   11,295000;    0,469132;   20,000000;    0,469132;   19,825000;    0,469400;   20,000000;    0,469400;   22,349000;
116;    0,473496;   20,000000;    0,473496;    4,962000;    0,472215;   20,000000;    0,472215;   11,238000;    0,473235;   20,000000;    0,473235;   19,687000;    0,473500;   20,000000;    0,473500;   22,347000;
117;    0,477573;   20,000000;    0,477573;    4,958000;    0,476311;   20,000000;    0,476311;   11,203000;    0,477340;   20,000000;    0,477340;   19,546000;    0,477608;   20,000000;    0,477608;   22,377000;
118;    0,481672;   20,000000;    0,481672;    4,957000;    0,480449;   20,000000;    0,480449;   11,195000;    0,481416;   20,000000;    0,481416;   19,418000;    0,481681;   20,000000;    0,481681;   22,441000;
119;    0,485779;   20,000000;    0,485779;    4,953000;    0,484522;   20,000000;    0,484522;   11,202000;    0,485521;   20,000000;    0,485521;   19,325000;    0,485789;   20,000000;    0,485789;   22,537000;
120;    0,489899;   20,000000;    0,489899;    4,950000;    0,488620;   20,000000;    0,488620;   11,221000;    0,489640;   20,000000;    0,489640;   19,272000;    0,489892;   20,000000;    0,489892;   22,659000;
121;    0,494002;   20,000000;    0,494002;    4,950000;    0,492704;   20,000000;    0,492704;   11,242000;    0,493727;   20,000000;    0,493727;   19,269000;    0,493974;   20,000000;    0,493974;   22,796000;
122;    0,498059;   20,000000;    0,498059;    4,956000;    0,496801;   20,000000;    0,496801;   11,265000;    0,497826;   20,000000;    0,497826;   19,311000;    0,498073;   20,000000;    0,498073;   22,925000;
123;    0,502161;   20,000000;    0,502161;    4,969000;    0,500919;   20,000000;    0,500919;   11,290000;    0,501924;   20,000000;    0,501924;   19,394000;    0,502233;   20,000000;    0,502233;   23,022000;
124;    0,506267;   20,000000;    0,506267;    4,990000;    0,505005;   20,000000;    0,505005;   11,317000;    0,506011;   20,000000;    0,506011;   19,492000;    0,506264;   20,000000;    0,506264;   23,066000;
125;    0,510343;   20,000000;    0,510343;    5,013000;    0,509078;   20,000000;    0,509078;   11,349000;    0,510118;   20,000000;    0,510118;   19,588000;    0,510368;   20,000000;    0,510368;   23,044000;
126;    0,514449;   20,000000;    0,514449;    5,033000;    0,513184;   20,000000;    0,513184;   11,381000;    0,514195;   20,000000;    0,514195;   19,657000;    0,514473;   20,000000;    0,514473;   22,967000;
127;    0,518552;   20,000000;    0,518552;    5,042000;    0,517300;   20,000000;    0,517300;   11,408000;    0,518302;   20,000000;    0,518302;   19,695000;    0,518549;   20,000000;    0,518549;   22,851000;
128;    0,522626;   20,000000;    0,522626;    5,039000;    0,521376;   20,000000;    0,521376;   11,421000;    0,522387;   20,000000;    0,522387;   19,705000;    0,522672;   20,000000;    0,522672;   22,721000;
129;    0,526728;   20,000000;    0,526728;    5,024000;    0,525469;   20,000000;    0,525469;   11,419000;    0,526483;   20,000000;    0,526483;   19,693000;    0,526753;   20,000000;    0,526753;   22,598000;
