;;;;;;Nacelle NC10...
;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
321;    1,311827;   -4,151000;    1,311827;   -4,365000;
322;    1,315917;   -4,187000;    1,315917;   -4,400000;
323;    1,320010;   -4,222000;    1,320010;   -4,445000;
324;    1,324173;   -4,256000;    1,324173;   -4,499000;
325;    1,328207;   -4,289000;    1,328207;   -4,562000;
326;    1,332282;   -4,322000;    1,332282;   -4,620000;
327;    1,336412;   -4,354000;    1,336412;   -4,674000;
328;    1,340491;   -4,385000;    1,340491;   -4,725000;
329;    1,344591;   -4,416000;    1,344591;   -4,775000;
330;    1,348694;   -4,446000;    1,348694;   -4,822000;
331;    1,352779;   -4,475000;    1,352779;   -4,861000;
332;    1,356883;   -4,503000;    1,356883;   -4,893000;
333;    1,360985;   -4,531000;    1,360985;   -4,912000;
334;    1,365059;   -4,557000;    1,365059;   -4,933000;
335;    1,369172;   -4,584000;    1,369172;   -4,957000;
336;    1,373256;   -4,609000;    1,373256;   -4,985000;
337;    1,377360;   -4,633000;    1,377360;   -5,010000;
338;    1,381435;   -4,657000;    1,381435;   -5,035000;
339;    1,385545;   -4,680000;    1,385545;   -5,054000;
340;    1,389663;   -4,703000;    1,389663;   -5,071000;
341;    1,393726;   -4,724000;    1,393726;   -5,091000;
342;    1,397826;   -4,745000;    1,397826;   -5,116000;
343;    1,401930;   -4,765000;    1,401930;   -5,143000;
344;    1,406069;   -4,784000;    1,406069;   -5,166000;
345;    1,410172;   -4,802000;    1,410172;   -5,184000;
346;    1,414201;   -4,819000;    1,414201;   -5,195000;
347;    1,418333;   -4,836000;    1,418333;   -5,202000;
348;    1,422385;   -4,852000;    1,422385;   -5,203000;
349;    1,426516;   -4,867000;    1,426516;   -5,203000;
350;    1,430595;   -4,882000;    1,430595;   -5,214000;
351;    1,434696;   -4,895000;    1,434696;   -5,242000;
352;    1,438800;   -4,908000;    1,438800;   -5,280000;
353;    1,442878;   -4,920000;    1,442878;   -5,321000;
354;    1,446981;   -4,931000;    1,446981;   -5,361000;
355;    1,451063;   -4,941000;    1,451063;   -5,397000;
356;    1,455172;   -4,950000;    1,455172;   -5,427000;
357;    1,459261;   -4,959000;    1,459261;   -5,452000;
358;    1,463358;   -4,967000;    1,463358;   -5,469000;
359;    1,467463;   -4,974000;    1,467463;   -5,480000;
360;    1,471567;   -4,980000;    1,471567;   -5,481000;
361;    1,475647;   -4,985000;    1,475647;   -5,471000;
362;    1,479751;   -4,990000;    1,479751;   -5,453000;
363;    1,483853;   -4,994000;    1,483853;   -5,428000;
364;    1,487929;   -4,996000;    1,487929;   -5,405000;
365;    1,492044;   -4,998000;    1,492044;   -5,388000;
366;    1,496169;   -5,000000;    1,496169;   -5,381000;
367;    1,500229;   -5,000000;    1,500229;   -5,385000;
368;    1,504326;   -5,000000;    1,504326;   -5,397000;
369;    1,508411;   -4,998000;    1,508411;   -5,413000;
370;    1,512513;   -4,996000;    1,512513;   -5,428000;
371;    1,516626;   -4,993000;    1,516626;   -5,439000;
372;    1,520694;   -4,989000;    1,520694;   -5,443000;
373;    1,524800;   -4,985000;    1,524800;   -5,442000;
374;    1,528904;   -4,979000;    1,528904;   -5,439000;
375;    1,533009;   -4,973000;    1,533009;   -5,437000;
376;    1,537087;   -4,966000;    1,537087;   -5,435000;
377;    1,541178;   -4,958000;    1,541178;   -5,432000;
378;    1,545284;   -4,949000;    1,545284;   -5,429000;
379;    1,549384;   -4,940000;    1,549384;   -5,423000;
380;    1,553488;   -4,930000;    1,553488;   -5,416000;
381;    1,557541;   -4,919000;    1,557541;   -5,411000;
382;    1,561645;   -4,907000;    1,561645;   -5,411000;
383;    1,565746;   -4,894000;    1,565746;   -5,415000;
384;    1,569854;   -4,880000;    1,569854;   -5,422000;
385;    1,573933;   -4,866000;    1,573933;   -5,431000;
386;    1,578035;   -4,850000;    1,578035;   -5,441000;
387;    1,582169;   -4,834000;    1,582169;   -5,443000;
388;    1,586227;   -4,818000;    1,586227;   -5,440000;
389;    1,590331;   -4,800000;    1,590331;   -5,432000;
390;    1,594410;   -4,782000;    1,594410;   -5,422000;
391;    1,598509;   -4,762000;    1,598509;   -5,413000;
392;    1,602591;   -4,743000;    1,602591;   -5,396000;
393;    1,606693;   -4,722000;    1,606693;   -5,369000;
394;    1,610778;   -4,700000;    1,610778;   -5,334000;
395;    1,614875;   -4,678000;    1,614875;   -5,300000;
396;    1,618980;   -4,655000;    1,618980;   -5,268000;
397;    1,623058;   -4,631000;    1,623058;   -5,244000;
398;    1,627170;   -4,606000;    1,627170;   -5,228000;
399;    1,631249;   -4,581000;    1,631249;   -5,224000;
400;    1,635355;   -4,555000;    1,635355;   -5,231000;
401;    1,639486;   -4,528000;    1,639486;   -5,248000;
402;    1,641456;   -4,514000;    1,641456;   -5,265000;
403;    1,644460;   -4,494000;    1,644460;   -5,275000;
404;    1,647640;   -4,472000;    1,647640;   -5,275000;
405;    1,651730;   -4,443000;    1,651730;   -5,268000;
406;    1,655823;   -4,413000;    1,655823;   -5,252000;
407;    1,659927;   -4,382000;    1,659927;   -5,232000;
408;    1,664008;   -4,351000;    1,664008;   -5,211000;
409;    1,668169;   -4,318000;    1,668169;   -5,179000;
410;    1,672201;   -4,286000;    1,672201;   -5,136000;
411;    1,676304;   -4,252000;    1,676304;   -5,085000;
412;    1,680407;   -4,218000;    1,680407;   -5,039000;
413;    1,684485;   -4,183000;    1,684485;   -4,997000;
414;    1,688588;   -4,148000;    1,688588;   -4,967000;
415;    1,692692;   -4,111000;    1,692692;   -4,940000;
416;    1,696773;   -4,075000;    1,696773;   -4,918000;
417;    1,700873;   -4,037000;    1,700873;   -4,898000;
418;    1,704981;   -3,999000;    1,704981;   -4,889000;
419;    1,709084;   -3,960000;    1,709084;   -4,886000;
420;    1,713166;   -3,920000;    1,713166;   -4,879000;
421;    1,717252;   -3,880000;    1,717252;   -4,861000;
422;    1,721354;   -3,839000;    1,721354;   -4,832000;
423;    1,725457;   -3,797000;    1,725457;   -4,802000;
424;    1,729541;   -3,755000;    1,729541;   -4,766000;
425;    1,733644;   -3,712000;    1,733644;   -4,726000;
426;    1,737742;   -3,669000;    1,737742;   -4,676000;
427;    1,741847;   -3,625000;    1,741847;   -4,630000;
428;    1,745927;   -3,580000;    1,745927;   -4,586000;
429;    1,750031;   -3,535000;    1,750031;   -4,553000;
430;    1,754166;   -3,489000;    1,754166;   -4,514000;
431;    1,758224;   -3,443000;    1,758224;   -4,474000;
432;    1,762327;   -3,396000;    1,762327;   -4,428000;
433;    1,766410;   -3,349000;    1,766410;   -4,388000;
434;    1,770509;   -3,301000;    1,770509;   -4,342000;
435;    1,774613;   -3,252000;    1,774613;   -4,297000;
436;    1,778690;   -3,203000;    1,778690;   -4,251000;
437;    1,782796;   -3,153000;    1,782796;   -4,215000;
